id;time;time7c;intimacy;conflict;confc;confcb;confcw;relqual;;confc;confcw;;confcb;
1;0;-192.857.142.857.143;4,78;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;1;-178.571.428.571.429;2,07;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;2;-164.285.714.285.714;3,8;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;3;-1,5;3,69;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;4;-135.714.285.714.286;4,65;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;5;-121.428.571.428.571;3,61;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;6;-107.142.857.142.857;3,78;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;7;-0,928571429;3,68;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;8;-0,785714286;6,47;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;9;-0,642857143;6,19;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;10;-0,5;4,16;1;0,7786797;-0,114177443;0,892857143;1;0;0,778679654;0,892857143;0;-0,114177489;4,63203E-08
1;11;-0,357142857;1,5;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;12;-0,214285714;6,34;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;13;-0,071428571;7,12;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;14;0,071428571;5,43;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
1;15;0,214285714;5,44;1;0,7786797;-0,114177443;0,892857143;1;0;0,778679654;0,892857143;0;-0,114177489;4,63203E-08
1;16;0,357142857;5,98;0;-0,2213203;-0,114177443;-0,107142857;1;0;-0,221320346;-0,107142857;1,38778E-16;-0,114177489;4,63203E-08
