person,time,item,y
301,1,1,2
301,1,2,2
301,1,3,3
301,1,4,4
301,2,1,2
301,2,2,3
301,2,3,3
301,2,4,2
301,3,1,3
301,3,2,3
301,3,3,2
301,3,4,2
301,4,1,4
301,4,2,3
301,4,3,3
301,4,4,3
301,5,1,2
301,5,2,2
301,5,3,2
301,5,4,2
301,6,1,2
301,6,2,2
301,6,3,1
301,6,4,2
301,7,1,2
301,7,2,2
301,7,3,1
301,7,4,2
301,8,1,2
301,8,2,2
301,8,3,2
301,8,4,2
301,9,1,2
301,9,2,3
301,9,3,2
301,9,4,2
301,10,1,3
301,10,2,3
301,10,3,3
301,10,4,3
309,1,1,3
309,1,2,3
309,1,3, 
309,1,4,1
309,2,1,3
309,2,2,3
309,2,3,3
309,2,4,3
309,3,1,3
309,3,2,3
309,3,3,3
309,3,4,1
309,4,1,3
309,4,2,1
309,4,3,3
309,4,4,1
309,5,1,1
309,5,2,1
309,5,3,1
309,5,4,1
309,6,1,3
309,6,2,1
309,6,3,1
309,6,4,1
309,7,1,1
309,7,2,1
309,7,3,3
309,7,4,1
309,8,1,1
309,8,2,1
309,8,3,1
309,8,4,1
309,9,1,1
309,9,2,1
309,9,3,1
309,9,4,1
309,10,1,1
309,10,2,1
309,10,3,1
309,10,4,1
319,1,1,3
319,1,2,2
319,1,3,2
319,1,4,2
319,2,1, 
319,2,2, 
319,2,3, 
319,2,4, 
319,3,1,3
319,3,2,2
319,3,3,2
319,3,4,2
319,4,1,3
319,4,2,3
319,4,3,3
319,4,4,2
319,5,1, 
319,5,2, 
319,5,3, 
319,5,4, 
319,6,1,2
319,6,2,1
319,6,3,2
319,6,4,2
319,7,1,2
319,7,2,1
319,7,3,1
319,7,4,1
319,8,1,2
319,8,2,2
319,8,3,2
319,8,4,2
319,9,1, 
319,9,2, 
319,9,3, 
319,9,4, 
319,10,1,3
319,10,2,3
319,10,3,3
319,10,4,3
337,1,1,4
337,1,2,5
337,1,3,4
337,1,4,2
337,2,1,3
337,2,2,4
337,2,3,3
337,2,4,3
337,3,1,3
337,3,2,4
337,3,3,3
337,3,4,2
337,4,1,3
337,4,2,3
337,4,3,2
337,4,4,2
337,5,1, 
337,5,2, 
337,5,3, 
337,5,4, 
337,6,1,3
337,6,2,2
337,6,3,2
337,6,4,3
337,7,1,3
337,7,2,3
337,7,3,2
337,7,4,1
337,8,1,3
337,8,2,3
337,8,3,2
337,8,4,2
337,9,1,3
337,9,2,3
337,9,3,4
337,9,4,2
337,10,1,4
337,10,2,4
337,10,3,4
337,10,4,3
351,1,1,3
351,1,2,1
351,1,3,1
351,1,4,1
351,2,1,3
351,2,2,1
351,2,3,1
351,2,4,1
351,3,1,2
351,3,2,1
351,3,3,1
351,3,4,1
351,4,1,2
351,4,2,2
351,4,3,1
351,4,4,1
351,5,1,2
351,5,2,1
351,5,3,1
351,5,4,1
351,6,1,3
351,6,2,2
351,6,3,1
351,6,4,1
351,7,1,3
351,7,2,1
351,7,3,1
351,7,4,1
351,8,1,3
351,8,2,2
351,8,3,1
351,8,4,1
351,9,1,2
351,9,2,1
351,9,3,1
351,9,4,1
351,10,1,3
351,10,2,1
351,10,3,1
351,10,4,1
357,1,1,3
357,1,2,4
357,1,3,3
357,1,4,3
357,2,1,3
357,2,2,2
357,2,3,3
357,2,4,2
357,3,1,4
357,3,2, 
357,3,3, 
357,3,4,2
357,4,1,2
357,4,2,2
357,4,3,2
357,4,4,2
357,5,1,2
357,5,2,2
357,5,3,2
357,5,4,2
357,6,1,2
357,6,2,2
357,6,3,2
357,6,4,2
357,7,1,2
357,7,2,2
357,7,3,2
357,7,4,2
357,8,1,2
357,8,2,3
357,8,3,2
357,8,4,2
357,9,1,2
357,9,2,2
357,9,3,2
357,9,4,1
357,10,1,2
357,10,2,2
357,10,3,2
357,10,4,2
363,1,1,3
363,1,2,5
363,1,3,4
363,1,4,3
363,2,1,3
363,2,2,5
363,2,3,3
363,2,4,1
363,3,1,3
363,3,2,5
363,3,3,3
363,3,4,1
363,4,1,5
363,4,2,5
363,4,3,5
363,4,4,1
363,5,1,3
363,5,2,4
363,5,3,4
363,5,4,1
363,6,1,3
363,6,2,5
363,6,3,4
363,6,4,2
363,7,1,3
363,7,2,4
363,7,3,2
363,7,4,2
363,8,1,2
363,8,2,5
363,8,3,1
363,8,4, 
363,9,1,1
363,9,2,5
363,9,3,3
363,9,4,2
363,10,1,3
363,10,2,5
363,10,3,5
363,10,4,2
375,1,1,3
375,1,2,2
375,1,3,2
375,1,4,1
375,2,1,3
375,2,2,4
375,2,3,4
375,2,4,3
375,3,1,2
375,3,2,2
375,3,3,2
375,3,4,2
375,4,1,4
375,4,2,4
375,4,3,4
375,4,4,4
375,5,1,2
375,5,2,4
375,5,3,3
375,5,4,3
375,6,1,3
375,6,2,3
375,6,3,3
375,6,4,3
375,7,1,3
375,7,2,3
375,7,3,3
375,7,4,3
375,8,1,3
375,8,2,3
375,8,3,3
375,8,4,3
375,9,1,4
375,9,2,4
375,9,3,4
375,9,4,4
375,10,1,4
375,10,2,4
375,10,3,4
375,10,4,4
383,1,1,4
383,1,2,4
383,1,3,4
383,1,4,3
383,2,1,3
383,2,2,3
383,2,3,3
383,2,4,2
383,3,1,3
383,3,2,2
383,3,3,2
383,3,4,2
383,4,1,3
383,4,2,2
383,4,3,2
383,4,4,2
383,5,1,2
383,5,2,2
383,5,3,2
383,5,4,2
383,6,1,2
383,6,2,2
383,6,3,1
383,6,4,1
383,7,1,3
383,7,2,3
383,7,3,3
383,7,4,2
383,8,1,2
383,8,2,2
383,8,3,1
383,8,4,2
383,9,1,2
383,9,2,2
383,9,3,2
383,9,4,3
383,10,1,2
383,10,2,1
383,10,3,1
383,10,4,1
387,1,1,1
387,1,2,4
387,1,3,2
387,1,4,4
387,2,1,2
387,2,2,2
387,2,3,2
387,2,4,2
387,3,1,3
387,3,2,2
387,3,3,2
387,3,4,3
387,4,1,2
387,4,2,2
387,4,3,2
387,4,4,3
387,5,1,2
387,5,2,2
387,5,3,2
387,5,4,4
387,6,1,2
387,6,2,3
387,6,3,1
387,6,4,4
387,7,1, 
387,7,2,2
387,7,3,1
387,7,4,3
387,8,1, 
387,8,2, 
387,8,3, 
387,8,4, 
387,9,1, 
387,9,2,2
387,9,3,1
387,9,4,3
387,10,1, 
387,10,2, 
387,10,3, 
387,10,4, 
391,1,1,4
391,1,2,3
391,1,3, 
391,1,4,3
391,2,1,4
391,2,2,5
391,2,3,4
391,2,4,3
391,3,1,4
391,3,2,4
391,3,3,5
391,3,4,4
391,4,1,4
391,4,2,4
391,4,3,3
391,4,4,2
391,5,1,3
391,5,2,4
391,5,3,4
391,5,4,3
391,6,1,4
391,6,2,4
391,6,3,4
391,6,4,4
391,7,1,4
391,7,2,5
391,7,3,4
391,7,4,3
391,8,1,4
391,8,2,5
391,8,3,5
391,8,4,4
391,9,1,4
391,9,2,4
391,9,3,4
391,9,4,3
391,10,1,4
391,10,2,5
391,10,3,4
391,10,4,5
393,1,1,3
393,1,2,3
393,1,3,3
393,1,4,3
393,2,1, 
393,2,2, 
393,2,3, 
393,2,4, 
393,3,1,4
393,3,2,3
393,3,3,3
393,3,4,4
393,4,1, 
393,4,2, 
393,4,3, 
393,4,4, 
393,5,1,3
393,5,2,3
393,5,3,3
393,5,4,3
393,6,1,4
393,6,2,4
393,6,3,4
393,6,4,4
393,7,1,3
393,7,2,3
393,7,3,3
393,7,4,3
393,8,1,5
393,8,2,5
393,8,3,5
393,8,4,4
393,9,1, 
393,9,2,4
393,9,3,4
393,9,4,3
393,10,1,5
393,10,2,5
393,10,3,5
393,10,4,5
399,1,1,2
399,1,2,3
399,1,3,1
399,1,4,1
399,2,1,2
399,2,2,3
399,2,3,3
399,2,4,3
399,3,1,2
399,3,2,3
399,3,3,1
399,3,4,2
399,4,1,2
399,4,2,2
399,4,3,1
399,4,4,1
399,5,1,2
399,5,2,3
399,5,3,2
399,5,4,1
399,6,1, 
399,6,2,2
399,6,3,1
399,6,4,2
399,7,1,3
399,7,2,4
399,7,3,2
399,7,4,3
399,8,1,2
399,8,2,3
399,8,3,2
399,8,4,2
399,9,1,2
399,9,2,3
399,9,3,3
399,9,4,2
399,10,1,3
399,10,2,3
399,10,3,2
399,10,4,1
401,1,1,4
401,1,2,4
401,1,3,4
401,1,4,4
401,2,1,2
401,2,2,4
401,2,3,4
401,2,4,4
401,3,1,4
401,3,2,4
401,3,3,4
401,3,4,4
401,4,1,3
401,4,2,3
401,4,3,3
401,4,4,3
401,5,1,3
401,5,2,3
401,5,3,3
401,5,4,3
401,6,1,2
401,6,2,3
401,6,3,2
401,6,4,2
401,7,1,2
401,7,2,2
401,7,3,2
401,7,4,2
401,8,1,3
401,8,2,3
401,8,3,3
401,8,4,3
401,9,1,3
401,9,2,3
401,9,3,3
401,9,4,3
401,10,1,3
401,10,2,3
401,10,3,3
401,10,4,3
405,1,1,3
405,1,2,3
405,1,3,4
405,1,4,3
405,2,1,2
405,2,2,3
405,2,3,2
405,2,4,2
405,3,1,2
405,3,2,3
405,3,3,2
405,3,4,2
405,4,1,3
405,4,2,1
405,4,3,2
405,4,4,2
405,5,1,3
405,5,2,3
405,5,3,3
405,5,4,2
405,6,1,2
405,6,2,2
405,6,3,2
405,6,4,2
405,7,1,4
405,7,2,3
405,7,3,3
405,7,4,3
405,8,1,2
405,8,2,3
405,8,3,2
405,8,4,1
405,9,1, 
405,9,2, 
405,9,3, 
405,9,4, 
405,10,1, 
405,10,2, 
405,10,3, 
405,10,4, 
409,1,1,1
409,1,2,3
409,1,3,3
409,1,4,3
409,2,1,2
409,2,2,3
409,2,3,2
409,2,4,3
409,3,1,1
409,3,2,3
409,3,3,1
409,3,4,2
409,4,1,2
409,4,2,3
409,4,3,2
409,4,4,2
409,5,1,1
409,5,2,3
409,5,3,1
409,5,4,1
409,6,1,2
409,6,2,3
409,6,3,1
409,6,4,1
409,7,1,2
409,7,2,3
409,7,3,1
409,7,4,3
409,8,1,1
409,8,2,3
409,8,3,1
409,8,4,3
409,9,1,2
409,9,2,3
409,9,3,1
409,9,4,3
409,10,1,1
409,10,2,3
409,10,3,1
409,10,4,3
411,1,1,2
411,1,2,4
411,1,3,3
411,1,4,2
411,2,1,3
411,2,2,3
411,2,3,3
411,2,4,2
411,3,1,2
411,3,2,3
411,3,3,3
411,3,4,1
411,4,1,3
411,4,2,4
411,4,3,3
411,4,4,3
411,5,1,3
411,5,2,4
411,5,3,2
411,5,4,1
411,6,1,1
411,6,2,4
411,6,3,2
411,6,4,2
411,7,1,1
411,7,2,4
411,7,3,2
411,7,4,1
411,8,1, 
411,8,2, 
411,8,3, 
411,8,4, 
411,9,1,1
411,9,2,4
411,9,3,1
411,9,4,1
411,10,1,1
411,10,2,4
411,10,3,1
411,10,4,2
421,1,1,2
421,1,2,3
421,1,3,3
421,1,4,2
421,2,1, 
421,2,2, 
421,2,3, 
421,2,4, 
421,3,1,2
421,3,2,2
421,3,3,1
421,3,4,1
421,4,1,4
421,4,2,4
421,4,3,4
421,4,4,3
421,5,1,3
421,5,2,3
421,5,3,3
421,5,4,2
421,6,1,2
421,6,2,2
421,6,3,1
421,6,4,1
421,7,1,2
421,7,2,3
421,7,3,3
421,7,4,3
421,8,1,4
421,8,2,3
421,8,3,3
421,8,4,3
421,9,1, 
421,9,2, 
421,9,3, 
421,9,4, 
421,10,1,4
421,10,2,3
421,10,3, 
421,10,4,4
423,1,1,2
423,1,2,5
423,1,3,5
423,1,4,1
423,2,1, 
423,2,2, 
423,2,3, 
423,2,4, 
423,3,1,1
423,3,2,4
423,3,3,2
423,3,4,1
423,4,1, 
423,4,2, 
423,4,3, 
423,4,4, 
423,5,1, 
423,5,2, 
423,5,3, 
423,5,4, 
423,6,1,4
423,6,2,4
423,6,3,2
423,6,4, 
423,7,1,2
423,7,2,3
423,7,3,2
423,7,4,1
423,8,1,3
423,8,2,2
423,8,3,2
423,8,4,1
423,9,1,2
423,9,2,2
423,9,3,1
423,9,4,1
423,10,1,2
423,10,2,2
423,10,3,1
423,10,4,1
431,1,1,4
431,1,2,3
